concept_name,concept_cluster,cluster_center
Electronic_concept1,6,"118.09178, -236.13217"
Electronic_concept10,1,"138.58177, 195.40189"
Electronic_concept11,1,"138.58177, 195.40189"
Electronic_concept12,8,"-85.17974, 261.69818"
Electronic_concept13,4,"266.24768, -42.58199"
Electronic_concept14,5,"-290.46387, -122.24003"
Electronic_concept15,4,"266.24768, -42.58199"
Electronic_concept16,3,"-313.2568, 117.263985"
Electronic_concept17,1,"138.58177, 195.40189"
Electronic_concept18,8,"-85.17974, 261.69818"
Electronic_concept19,6,"118.09178, -236.13217"
Electronic_concept2,1,"138.58177, 195.40189"
Electronic_concept20,7,"69.31409, 1.1166104"
Electronic_concept21,8,"-85.17974, 261.69818"
Electronic_concept22,0,"-75.2411, -133.1993"
Electronic_concept23,4,"266.24768, -42.58199"
Electronic_concept24,3,"-313.2568, 117.263985"
Electronic_concept25,1,"138.58177, 195.40189"
Electronic_concept3,3,"-313.2568, 117.263985"
Electronic_concept4,1,"138.58177, 195.40189"
Electronic_concept5,0,"-75.2411, -133.1993"
Electronic_concept6,3,"-313.2568, 117.263985"
Electronic_concept7,2,"-119.255516, 59.21046"
Electronic_concept8,9,"-125.24285, -326.5348"
Electronic_concept9,6,"118.09178, -236.13217"
Experimental_concept1,1,"138.58177, 195.40189"
Experimental_concept10,6,"118.09178, -236.13217"
Experimental_concept11,4,"266.24768, -42.58199"
Experimental_concept12,3,"-313.2568, 117.263985"
Experimental_concept13,6,"118.09178, -236.13217"
Experimental_concept14,5,"-290.46387, -122.24003"
Experimental_concept15,9,"-125.24285, -326.5348"
Experimental_concept16,1,"138.58177, 195.40189"
Experimental_concept17,6,"118.09178, -236.13217"
Experimental_concept18,2,"-119.255516, 59.21046"
Experimental_concept19,4,"266.24768, -42.58199"
Experimental_concept2,0,"-75.2411, -133.1993"
Experimental_concept20,4,"266.24768, -42.58199"
Experimental_concept21,8,"-85.17974, 261.69818"
Experimental_concept22,6,"118.09178, -236.13217"
Experimental_concept23,1,"138.58177, 195.40189"
Experimental_concept24,1,"138.58177, 195.40189"
Experimental_concept25,4,"266.24768, -42.58199"
Experimental_concept3,1,"138.58177, 195.40189"
Experimental_concept4,5,"-290.46387, -122.24003"
Experimental_concept5,4,"266.24768, -42.58199"
Experimental_concept6,0,"-75.2411, -133.1993"
Experimental_concept7,0,"-75.2411, -133.1993"
Experimental_concept8,1,"138.58177, 195.40189"
Experimental_concept9,3,"-313.2568, 117.263985"
Folk_concept1,0,"-75.2411, -133.1993"
Folk_concept10,4,"266.24768, -42.58199"
Folk_concept11,3,"-313.2568, 117.263985"
Folk_concept12,3,"-313.2568, 117.263985"
Folk_concept13,7,"69.31409, 1.1166104"
Folk_concept14,4,"266.24768, -42.58199"
Folk_concept15,4,"266.24768, -42.58199"
Folk_concept16,2,"-119.255516, 59.21046"
Folk_concept17,1,"138.58177, 195.40189"
Folk_concept18,9,"-125.24285, -326.5348"
Folk_concept19,4,"266.24768, -42.58199"
Folk_concept2,4,"266.24768, -42.58199"
Folk_concept20,8,"-85.17974, 261.69818"
Folk_concept21,6,"118.09178, -236.13217"
Folk_concept22,8,"-85.17974, 261.69818"
Folk_concept23,6,"118.09178, -236.13217"
Folk_concept24,5,"-290.46387, -122.24003"
Folk_concept25,0,"-75.2411, -133.1993"
Folk_concept3,4,"266.24768, -42.58199"
Folk_concept4,2,"-119.255516, 59.21046"
Folk_concept5,6,"118.09178, -236.13217"
Folk_concept6,7,"69.31409, 1.1166104"
Folk_concept7,4,"266.24768, -42.58199"
Folk_concept8,6,"118.09178, -236.13217"
Folk_concept9,7,"69.31409, 1.1166104"
Hip-Hop_concept1,1,"138.58177, 195.40189"
Hip-Hop_concept10,7,"69.31409, 1.1166104"
Hip-Hop_concept11,2,"-119.255516, 59.21046"
Hip-Hop_concept12,4,"266.24768, -42.58199"
Hip-Hop_concept13,3,"-313.2568, 117.263985"
Hip-Hop_concept14,3,"-313.2568, 117.263985"
Hip-Hop_concept15,6,"118.09178, -236.13217"
Hip-Hop_concept16,8,"-85.17974, 261.69818"
Hip-Hop_concept17,1,"138.58177, 195.40189"
Hip-Hop_concept18,4,"266.24768, -42.58199"
Hip-Hop_concept19,6,"118.09178, -236.13217"
Hip-Hop_concept2,4,"266.24768, -42.58199"
Hip-Hop_concept20,1,"138.58177, 195.40189"
Hip-Hop_concept21,5,"-290.46387, -122.24003"
Hip-Hop_concept22,1,"138.58177, 195.40189"
Hip-Hop_concept23,1,"138.58177, 195.40189"
Hip-Hop_concept24,1,"138.58177, 195.40189"
Hip-Hop_concept25,3,"-313.2568, 117.263985"
Hip-Hop_concept3,6,"118.09178, -236.13217"
Hip-Hop_concept4,1,"138.58177, 195.40189"
Hip-Hop_concept5,6,"118.09178, -236.13217"
Hip-Hop_concept6,4,"266.24768, -42.58199"
Hip-Hop_concept7,0,"-75.2411, -133.1993"
Hip-Hop_concept8,8,"-85.17974, 261.69818"
Hip-Hop_concept9,8,"-85.17974, 261.69818"
Instrumental_concept1,8,"-85.17974, 261.69818"
Instrumental_concept10,1,"138.58177, 195.40189"
Instrumental_concept11,7,"69.31409, 1.1166104"
Instrumental_concept12,4,"266.24768, -42.58199"
Instrumental_concept13,0,"-75.2411, -133.1993"
Instrumental_concept14,2,"-119.255516, 59.21046"
Instrumental_concept15,6,"118.09178, -236.13217"
Instrumental_concept16,0,"-75.2411, -133.1993"
Instrumental_concept17,3,"-313.2568, 117.263985"
Instrumental_concept18,6,"118.09178, -236.13217"
Instrumental_concept19,4,"266.24768, -42.58199"
Instrumental_concept2,4,"266.24768, -42.58199"
Instrumental_concept20,7,"69.31409, 1.1166104"
Instrumental_concept21,4,"266.24768, -42.58199"
Instrumental_concept22,0,"-75.2411, -133.1993"
Instrumental_concept23,6,"118.09178, -236.13217"
Instrumental_concept24,4,"266.24768, -42.58199"
Instrumental_concept25,6,"118.09178, -236.13217"
Instrumental_concept3,0,"-75.2411, -133.1993"
Instrumental_concept4,5,"-290.46387, -122.24003"
Instrumental_concept5,4,"266.24768, -42.58199"
Instrumental_concept6,4,"266.24768, -42.58199"
Instrumental_concept7,7,"69.31409, 1.1166104"
Instrumental_concept8,9,"-125.24285, -326.5348"
Instrumental_concept9,2,"-119.255516, 59.21046"
International_concept1,4,"266.24768, -42.58199"
International_concept10,6,"118.09178, -236.13217"
International_concept11,1,"138.58177, 195.40189"
International_concept12,5,"-290.46387, -122.24003"
International_concept13,5,"-290.46387, -122.24003"
International_concept14,8,"-85.17974, 261.69818"
International_concept15,4,"266.24768, -42.58199"
International_concept16,4,"266.24768, -42.58199"
International_concept17,2,"-119.255516, 59.21046"
International_concept18,6,"118.09178, -236.13217"
International_concept19,7,"69.31409, 1.1166104"
International_concept2,7,"69.31409, 1.1166104"
International_concept20,4,"266.24768, -42.58199"
International_concept21,1,"138.58177, 195.40189"
International_concept22,0,"-75.2411, -133.1993"
International_concept23,0,"-75.2411, -133.1993"
International_concept24,2,"-119.255516, 59.21046"
International_concept25,3,"-313.2568, 117.263985"
International_concept3,1,"138.58177, 195.40189"
International_concept4,0,"-75.2411, -133.1993"
International_concept5,3,"-313.2568, 117.263985"
International_concept6,9,"-125.24285, -326.5348"
International_concept7,1,"138.58177, 195.40189"
International_concept8,1,"138.58177, 195.40189"
International_concept9,4,"266.24768, -42.58199"
Pop_concept1,1,"138.58177, 195.40189"
Pop_concept10,6,"118.09178, -236.13217"
Pop_concept11,2,"-119.255516, 59.21046"
Pop_concept12,4,"266.24768, -42.58199"
Pop_concept13,4,"266.24768, -42.58199"
Pop_concept14,6,"118.09178, -236.13217"
Pop_concept15,6,"118.09178, -236.13217"
Pop_concept16,3,"-313.2568, 117.263985"
Pop_concept17,7,"69.31409, 1.1166104"
Pop_concept18,1,"138.58177, 195.40189"
Pop_concept19,1,"138.58177, 195.40189"
Pop_concept2,8,"-85.17974, 261.69818"
Pop_concept20,1,"138.58177, 195.40189"
Pop_concept21,4,"266.24768, -42.58199"
Pop_concept22,4,"266.24768, -42.58199"
Pop_concept23,2,"-119.255516, 59.21046"
Pop_concept24,3,"-313.2568, 117.263985"
Pop_concept25,4,"266.24768, -42.58199"
Pop_concept3,9,"-125.24285, -326.5348"
Pop_concept4,4,"266.24768, -42.58199"
Pop_concept5,5,"-290.46387, -122.24003"
Pop_concept6,8,"-85.17974, 261.69818"
Pop_concept7,6,"118.09178, -236.13217"
Pop_concept8,1,"138.58177, 195.40189"
Pop_concept9,7,"69.31409, 1.1166104"
Rock_concept1,3,"-313.2568, 117.263985"
Rock_concept10,8,"-85.17974, 261.69818"
Rock_concept11,0,"-75.2411, -133.1993"
Rock_concept12,8,"-85.17974, 261.69818"
Rock_concept13,7,"69.31409, 1.1166104"
Rock_concept14,3,"-313.2568, 117.263985"
Rock_concept15,6,"118.09178, -236.13217"
Rock_concept16,1,"138.58177, 195.40189"
Rock_concept17,5,"-290.46387, -122.24003"
Rock_concept18,2,"-119.255516, 59.21046"
Rock_concept19,1,"138.58177, 195.40189"
Rock_concept2,1,"138.58177, 195.40189"
Rock_concept20,6,"118.09178, -236.13217"
Rock_concept21,1,"138.58177, 195.40189"
Rock_concept22,3,"-313.2568, 117.263985"
Rock_concept23,3,"-313.2568, 117.263985"
Rock_concept24,1,"138.58177, 195.40189"
Rock_concept25,8,"-85.17974, 261.69818"
Rock_concept3,4,"266.24768, -42.58199"
Rock_concept4,7,"69.31409, 1.1166104"
Rock_concept5,4,"266.24768, -42.58199"
Rock_concept6,1,"138.58177, 195.40189"
Rock_concept7,7,"69.31409, 1.1166104"
Rock_concept8,3,"-313.2568, 117.263985"
Rock_concept9,6,"118.09178, -236.13217"
