label,comp-1,comp-2
5,-29.39957,7.9796624
0,-49.883636,-27.822533
4,-14.603792,53.647415
1,45.49792,0.99577224
7,0.52617365,37.09362
2,3.4418266,-16.042461
1,30.977194,-36.30611
3,-18.176388,6.0614324
1,30.858381,-30.96594
4,8.382852,22.004742
3,-22.365826,-8.871926
5,-15.235454,25.445732
3,-31.076332,-0.93194854
6,-6.60938,-56.55831
1,33.262524,-32.058754
7,35.409237,29.33326
2,11.752525,-23.97769
6,10.840457,3.3249714
6,-11.134854,-40.538704
7,20.534582,22.514288
4,-19.08883,53.043022
0,-51.094616,-28.496878
7,18.512497,23.003096
1,45.810555,0.9924645
1,27.418127,-20.290182
2,1.647419,-10.442634
4,-2.597205,34.59763
3,-35.333458,0.069419205
2,40.877094,23.090242
7,31.440462,16.733624
3,26.61575,6.3877707
6,13.249716,3.706908
6,-11.304767,-47.739944
7,21.902483,21.51291
0,-42.289024,-30.149174
5,-16.130253,22.07244
6,-5.1969137,-46.192574
0,-43.136395,-30.474386
7,21.292336,50.259716
6,-9.45405,-51.984413
1,34.779526,-21.52905
6,3.1977956,3.3976874
7,22.296146,43.143772
7,17.57095,25.955708
3,-20.31817,0.85046047
7,17.51325,35.776592
6,-4.101565,8.171804
5,-20.807661,22.236502
7,-16.652306,-0.79775804
3,-20.164223,-12.084388
3,-27.676853,-11.978615
0,-52.316204,-21.665419
7,34.21907,47.202892
4,36.65283,-1.4775015
7,15.218542,48.061096
6,6.9603467,7.727457
0,-57.12223,-14.2364645
7,21.567104,28.425192
4,-5.1256824,51.960487
1,46.083065,-2.8944993
4,-22.221928,53.967815
4,45.194798,8.110621
6,-2.6710668,-50.58992
0,-51.637928,-26.614204
4,2.336205,58.58064
5,-16.081553,25.632717
6,-1.6617271,-54.09824
1,38.61645,-13.893693
0,-61.016083,-15.599859
0,-42.54388,-23.237713
1,37.131393,-29.647573
7,32.611477,18.114225
1,35.636795,-30.603426
6,-4.2386484,-55.126266
3,-22.102839,-3.4672477
0,-44.95236,-27.777025
2,21.615036,-16.48586
1,43.540607,-8.710543
1,42.061874,-5.808775
7,31.774137,17.591366
7,-38.013393,-14.81087
0,-44.509434,-27.797121
2,8.776418,-28.200851
6,-5.506609,-56.26001
7,27.363333,45.72318
6,4.3981986,1.7234195
3,-35.034218,3.4470587
7,23.802094,30.810593
0,-54.835117,-15.304784
4,11.436817,21.995659
6,-11.242186,-54.810925
7,39.439945,34.049007
4,-11.571204,48.939445
6,-4.187411,-55.053436
6,7.3083663,9.713681
0,-43.05119,-26.030132
7,24.372765,41.413624
6,6.2224417,4.6937222
3,-22.439999,-3.1852784
1,37.718605,-3.8175063
5,24.823385,-37.784443
7,41.042393,36.426884
1,34.364132,-29.949944
7,33.1786,38.57139
1,29.91453,-34.419395
1,45.16074,-10.910618
6,-12.289138,-42.829227
3,-17.23706,-12.343975
0,-60.78419,-15.517612
2,22.232021,-12.376311
7,-14.062206,44.93053
3,-19.360138,7.2073617
1,32.604084,-22.625834
1,47.40335,-7.19733
0,-58.331257,-20.504807
