concept_name,concept_cluster
Electronic_concept1,3
Electronic_concept10,1
Electronic_concept11,6
Electronic_concept12,6
Electronic_concept13,6
Electronic_concept14,4
Electronic_concept15,7
Electronic_concept16,9
Electronic_concept17,1
Electronic_concept18,6
Electronic_concept19,3
Electronic_concept2,3
Electronic_concept20,4
Electronic_concept21,3
Electronic_concept22,3
Electronic_concept23,7
Electronic_concept24,7
Electronic_concept25,1
Electronic_concept3,7
Electronic_concept4,6
Electronic_concept5,3
Electronic_concept6,0
Electronic_concept7,9
Electronic_concept8,8
Electronic_concept9,3
Experimental_concept1,1
Experimental_concept10,3
Experimental_concept11,6
Experimental_concept12,7
Experimental_concept13,1
Experimental_concept14,4
Experimental_concept15,8
Experimental_concept16,1
Experimental_concept17,3
Experimental_concept18,9
Experimental_concept19,6
Experimental_concept2,3
Experimental_concept20,0
Experimental_concept21,0
Experimental_concept22,3
Experimental_concept23,7
Experimental_concept24,1
Experimental_concept25,0
Experimental_concept3,1
Experimental_concept4,4
Experimental_concept5,6
Experimental_concept6,3
Experimental_concept7,3
Experimental_concept8,1
Experimental_concept9,0
Folk_concept1,3
Folk_concept10,7
Folk_concept11,7
Folk_concept12,7
Folk_concept13,2
Folk_concept14,6
Folk_concept15,0
Folk_concept16,9
Folk_concept17,6
Folk_concept18,8
Folk_concept19,6
Folk_concept2,6
Folk_concept20,0
Folk_concept21,1
Folk_concept22,0
Folk_concept23,3
Folk_concept24,4
Folk_concept25,3
Folk_concept3,6
Folk_concept4,9
Folk_concept5,3
Folk_concept6,5
Folk_concept7,7
Folk_concept8,3
Folk_concept9,4
Hip-Hop_concept1,1
Hip-Hop_concept10,2
Hip-Hop_concept11,9
Hip-Hop_concept12,6
Hip-Hop_concept13,8
Hip-Hop_concept14,7
Hip-Hop_concept15,1
Hip-Hop_concept16,6
Hip-Hop_concept17,1
Hip-Hop_concept18,0
Hip-Hop_concept19,3
Hip-Hop_concept2,7
Hip-Hop_concept20,1
Hip-Hop_concept21,4
Hip-Hop_concept22,6
Hip-Hop_concept23,6
Hip-Hop_concept24,1
Hip-Hop_concept25,8
Hip-Hop_concept3,3
Hip-Hop_concept4,6
Hip-Hop_concept5,3
Hip-Hop_concept6,6
Hip-Hop_concept7,7
Hip-Hop_concept8,0
Hip-Hop_concept9,6
Instrumental_concept1,0
Instrumental_concept10,1
Instrumental_concept11,2
Instrumental_concept12,6
Instrumental_concept13,6
Instrumental_concept14,9
Instrumental_concept15,3
Instrumental_concept16,3
Instrumental_concept17,7
Instrumental_concept18,3
Instrumental_concept19,6
Instrumental_concept2,0
Instrumental_concept20,4
Instrumental_concept21,7
Instrumental_concept22,0
Instrumental_concept23,3
Instrumental_concept24,7
Instrumental_concept25,3
Instrumental_concept3,3
Instrumental_concept4,4
Instrumental_concept5,6
Instrumental_concept6,0
Instrumental_concept7,2
Instrumental_concept8,8
Instrumental_concept9,0
International_concept1,0
International_concept10,3
International_concept11,7
International_concept12,4
International_concept13,4
International_concept14,3
International_concept15,3
International_concept16,6
International_concept17,9
International_concept18,3
International_concept19,2
International_concept2,2
International_concept20,6
International_concept21,1
International_concept22,3
International_concept23,0
International_concept24,9
International_concept25,0
International_concept3,1
International_concept4,3
International_concept5,7
International_concept6,8
International_concept7,6
International_concept8,1
International_concept9,6
Pop_concept1,1
Pop_concept10,3
Pop_concept11,9
Pop_concept12,0
Pop_concept13,7
Pop_concept14,3
Pop_concept15,3
Pop_concept16,7
Pop_concept17,2
Pop_concept18,6
Pop_concept19,1
Pop_concept2,0
Pop_concept20,6
Pop_concept21,6
Pop_concept22,6
Pop_concept23,9
Pop_concept24,7
Pop_concept25,6
Pop_concept3,8
Pop_concept4,6
Pop_concept5,4
Pop_concept6,6
Pop_concept7,3
Pop_concept8,6
Pop_concept9,2
Rock_concept1,3
Rock_concept10,3
Rock_concept11,3
Rock_concept12,0
Rock_concept13,2
Rock_concept14,7
Rock_concept15,3
Rock_concept16,1
Rock_concept17,4
Rock_concept18,9
Rock_concept19,6
Rock_concept2,1
Rock_concept20,1
Rock_concept21,1
Rock_concept22,0
Rock_concept23,7
Rock_concept24,1
Rock_concept25,6
Rock_concept3,6
Rock_concept4,2
Rock_concept5,7
Rock_concept6,1
Rock_concept7,8
Rock_concept8,7
Rock_concept9,1
