concept_name,concept_cluster,cluster_center_x,cluster_center_y
Electronic_concept1,9,37.880543,-156.33226
Electronic_concept10,2,-33.39386,-54.82195
Electronic_concept11,2,-33.39386,-54.82195
Electronic_concept12,2,-33.39386,-54.82195
Electronic_concept13,5,-9.051873,55.4229
Electronic_concept14,8,-140.81651,7.477841
Electronic_concept15,0,160.97783,58.8315
Electronic_concept16,7,74.176216,-20.58551
Electronic_concept17,9,37.880543,-156.33226
Electronic_concept18,2,-33.39386,-54.82195
Electronic_concept19,9,37.880543,-156.33226
Electronic_concept2,9,37.880543,-156.33226
Electronic_concept20,4,-91.13231,136.72832
Electronic_concept21,0,160.97783,58.8315
Electronic_concept22,6,-110.778206,-138.92213
Electronic_concept23,5,-9.051873,55.4229
Electronic_concept24,7,74.176216,-20.58551
Electronic_concept25,9,37.880543,-156.33226
Electronic_concept3,7,74.176216,-20.58551
Electronic_concept4,2,-33.39386,-54.82195
Electronic_concept5,6,-110.778206,-138.92213
Electronic_concept6,7,74.176216,-20.58551
Electronic_concept7,1,62.602604,148.77837
Electronic_concept8,3,162.18913,-95.43129
Electronic_concept9,9,37.880543,-156.33226
Experimental_concept1,2,-33.39386,-54.82195
Experimental_concept10,9,37.880543,-156.33226
Experimental_concept11,5,-9.051873,55.4229
Experimental_concept12,7,74.176216,-20.58551
Experimental_concept13,9,37.880543,-156.33226
Experimental_concept14,8,-140.81651,7.477841
Experimental_concept15,3,162.18913,-95.43129
Experimental_concept16,2,-33.39386,-54.82195
Experimental_concept17,9,37.880543,-156.33226
Experimental_concept18,1,62.602604,148.77837
Experimental_concept19,2,-33.39386,-54.82195
Experimental_concept2,6,-110.778206,-138.92213
Experimental_concept20,0,160.97783,58.8315
Experimental_concept21,0,160.97783,58.8315
Experimental_concept22,9,37.880543,-156.33226
Experimental_concept23,9,37.880543,-156.33226
Experimental_concept24,2,-33.39386,-54.82195
Experimental_concept25,5,-9.051873,55.4229
Experimental_concept3,2,-33.39386,-54.82195
Experimental_concept4,8,-140.81651,7.477841
Experimental_concept5,5,-9.051873,55.4229
Experimental_concept6,6,-110.778206,-138.92213
Experimental_concept7,0,160.97783,58.8315
Experimental_concept8,9,37.880543,-156.33226
Experimental_concept9,7,74.176216,-20.58551
Folk_concept1,6,-110.778206,-138.92213
Folk_concept10,0,160.97783,58.8315
Folk_concept11,7,74.176216,-20.58551
Folk_concept12,7,74.176216,-20.58551
Folk_concept13,4,-91.13231,136.72832
Folk_concept14,5,-9.051873,55.4229
Folk_concept15,0,160.97783,58.8315
Folk_concept16,1,62.602604,148.77837
Folk_concept17,2,-33.39386,-54.82195
Folk_concept18,3,162.18913,-95.43129
Folk_concept19,5,-9.051873,55.4229
Folk_concept2,5,-9.051873,55.4229
Folk_concept20,0,160.97783,58.8315
Folk_concept21,9,37.880543,-156.33226
Folk_concept22,0,160.97783,58.8315
Folk_concept23,0,160.97783,58.8315
Folk_concept24,8,-140.81651,7.477841
Folk_concept25,6,-110.778206,-138.92213
Folk_concept3,0,160.97783,58.8315
Folk_concept4,1,62.602604,148.77837
Folk_concept5,6,-110.778206,-138.92213
Folk_concept6,4,-91.13231,136.72832
Folk_concept7,5,-9.051873,55.4229
Folk_concept8,0,160.97783,58.8315
Folk_concept9,4,-91.13231,136.72832
Hip-Hop_concept1,2,-33.39386,-54.82195
Hip-Hop_concept10,4,-91.13231,136.72832
Hip-Hop_concept11,1,62.602604,148.77837
Hip-Hop_concept12,2,-33.39386,-54.82195
Hip-Hop_concept13,7,74.176216,-20.58551
Hip-Hop_concept14,7,74.176216,-20.58551
Hip-Hop_concept15,9,37.880543,-156.33226
Hip-Hop_concept16,2,-33.39386,-54.82195
Hip-Hop_concept17,9,37.880543,-156.33226
Hip-Hop_concept18,0,160.97783,58.8315
Hip-Hop_concept19,9,37.880543,-156.33226
Hip-Hop_concept2,9,37.880543,-156.33226
Hip-Hop_concept20,9,37.880543,-156.33226
Hip-Hop_concept21,8,-140.81651,7.477841
Hip-Hop_concept22,9,37.880543,-156.33226
Hip-Hop_concept23,2,-33.39386,-54.82195
Hip-Hop_concept24,2,-33.39386,-54.82195
Hip-Hop_concept25,7,74.176216,-20.58551
Hip-Hop_concept3,6,-110.778206,-138.92213
Hip-Hop_concept4,2,-33.39386,-54.82195
Hip-Hop_concept5,9,37.880543,-156.33226
Hip-Hop_concept6,5,-9.051873,55.4229
Hip-Hop_concept7,6,-110.778206,-138.92213
Hip-Hop_concept8,7,74.176216,-20.58551
Hip-Hop_concept9,2,-33.39386,-54.82195
Instrumental_concept1,0,160.97783,58.8315
Instrumental_concept10,2,-33.39386,-54.82195
Instrumental_concept11,4,-91.13231,136.72832
Instrumental_concept12,5,-9.051873,55.4229
Instrumental_concept13,0,160.97783,58.8315
Instrumental_concept14,1,62.602604,148.77837
Instrumental_concept15,0,160.97783,58.8315
Instrumental_concept16,0,160.97783,58.8315
Instrumental_concept17,7,74.176216,-20.58551
Instrumental_concept18,6,-110.778206,-138.92213
Instrumental_concept19,5,-9.051873,55.4229
Instrumental_concept2,0,160.97783,58.8315
Instrumental_concept20,4,-91.13231,136.72832
Instrumental_concept21,5,-9.051873,55.4229
Instrumental_concept22,0,160.97783,58.8315
Instrumental_concept23,6,-110.778206,-138.92213
Instrumental_concept24,5,-9.051873,55.4229
Instrumental_concept25,0,160.97783,58.8315
Instrumental_concept3,0,160.97783,58.8315
Instrumental_concept4,8,-140.81651,7.477841
Instrumental_concept5,5,-9.051873,55.4229
Instrumental_concept6,0,160.97783,58.8315
Instrumental_concept7,4,-91.13231,136.72832
Instrumental_concept8,3,162.18913,-95.43129
Instrumental_concept9,7,74.176216,-20.58551
International_concept1,0,160.97783,58.8315
International_concept10,6,-110.778206,-138.92213
International_concept11,9,37.880543,-156.33226
International_concept12,8,-140.81651,7.477841
International_concept13,8,-140.81651,7.477841
International_concept14,0,160.97783,58.8315
International_concept15,0,160.97783,58.8315
International_concept16,5,-9.051873,55.4229
International_concept17,1,62.602604,148.77837
International_concept18,9,37.880543,-156.33226
International_concept19,4,-91.13231,136.72832
International_concept2,4,-91.13231,136.72832
International_concept20,5,-9.051873,55.4229
International_concept21,2,-33.39386,-54.82195
International_concept22,6,-110.778206,-138.92213
International_concept23,0,160.97783,58.8315
International_concept24,1,62.602604,148.77837
International_concept25,7,74.176216,-20.58551
International_concept3,9,37.880543,-156.33226
International_concept4,6,-110.778206,-138.92213
International_concept5,7,74.176216,-20.58551
International_concept6,3,162.18913,-95.43129
International_concept7,2,-33.39386,-54.82195
International_concept8,2,-33.39386,-54.82195
International_concept9,2,-33.39386,-54.82195
Pop_concept1,9,37.880543,-156.33226
Pop_concept10,6,-110.778206,-138.92213
Pop_concept11,1,62.602604,148.77837
Pop_concept12,5,-9.051873,55.4229
Pop_concept13,5,-9.051873,55.4229
Pop_concept14,9,37.880543,-156.33226
Pop_concept15,9,37.880543,-156.33226
Pop_concept16,7,74.176216,-20.58551
Pop_concept17,4,-91.13231,136.72832
Pop_concept18,9,37.880543,-156.33226
Pop_concept19,2,-33.39386,-54.82195
Pop_concept2,0,160.97783,58.8315
Pop_concept20,2,-33.39386,-54.82195
Pop_concept21,2,-33.39386,-54.82195
Pop_concept22,2,-33.39386,-54.82195
Pop_concept23,1,62.602604,148.77837
Pop_concept24,7,74.176216,-20.58551
Pop_concept25,9,37.880543,-156.33226
Pop_concept3,3,162.18913,-95.43129
Pop_concept4,5,-9.051873,55.4229
Pop_concept5,8,-140.81651,7.477841
Pop_concept6,0,160.97783,58.8315
Pop_concept7,9,37.880543,-156.33226
Pop_concept8,2,-33.39386,-54.82195
Pop_concept9,4,-91.13231,136.72832
Rock_concept1,6,-110.778206,-138.92213
Rock_concept10,2,-33.39386,-54.82195
Rock_concept11,6,-110.778206,-138.92213
Rock_concept12,2,-33.39386,-54.82195
Rock_concept13,4,-91.13231,136.72832
Rock_concept14,7,74.176216,-20.58551
Rock_concept15,9,37.880543,-156.33226
Rock_concept16,9,37.880543,-156.33226
Rock_concept17,8,-140.81651,7.477841
Rock_concept18,1,62.602604,148.77837
Rock_concept19,9,37.880543,-156.33226
Rock_concept2,9,37.880543,-156.33226
Rock_concept20,9,37.880543,-156.33226
Rock_concept21,9,37.880543,-156.33226
Rock_concept22,7,74.176216,-20.58551
Rock_concept23,6,-110.778206,-138.92213
Rock_concept24,2,-33.39386,-54.82195
Rock_concept25,5,-9.051873,55.4229
Rock_concept3,5,-9.051873,55.4229
Rock_concept4,4,-91.13231,136.72832
Rock_concept5,9,37.880543,-156.33226
Rock_concept6,9,37.880543,-156.33226
Rock_concept7,3,162.18913,-95.43129
Rock_concept8,7,74.176216,-20.58551
Rock_concept9,9,37.880543,-156.33226
