concept_name,tcav_score
Electronic_concept8,0.48
Electronic_concept24,0.48
Electronic_concept15,0.47
Electronic_concept16,0.47
Electronic_concept2,0.46
Electronic_concept17,0.45
Electronic_concept21,0.45
Electronic_concept10,0.45
Electronic_concept3,0.44
Electronic_concept7,0.44
Electronic_concept20,0.44
Electronic_concept25,0.44
Electronic_concept23,0.44
Electronic_concept4,0.44
Electronic_concept12,0.43
Electronic_concept18,0.43
Electronic_concept22,0.43
Electronic_concept13,0.42
Electronic_concept5,0.42
Electronic_concept9,0.42
Electronic_concept6,0.41
Electronic_concept19,0.41
Electronic_concept11,0.4
Electronic_concept1,0.4
Electronic_concept14,0.4
Experimental_concept17,0.5
Experimental_concept9,0.5
Experimental_concept10,0.48
Experimental_concept1,0.47
Experimental_concept7,0.47
Experimental_concept4,0.46
Experimental_concept16,0.46
Experimental_concept21,0.46
Experimental_concept8,0.45
Experimental_concept24,0.45
Experimental_concept12,0.45
Experimental_concept13,0.45
Experimental_concept14,0.45
Experimental_concept3,0.45
Experimental_concept6,0.45
Experimental_concept20,0.44
Experimental_concept18,0.44
Experimental_concept15,0.44
Experimental_concept2,0.43
Experimental_concept5,0.42
Experimental_concept19,0.42
Experimental_concept23,0.42
Experimental_concept11,0.41
Experimental_concept25,0.41
Experimental_concept22,0.39
Folk_concept7,0.52
Folk_concept10,0.52
Folk_concept18,0.52
Folk_concept17,0.52
Folk_concept21,0.52
Folk_concept19,0.51
Folk_concept2,0.51
Folk_concept11,0.51
Folk_concept3,0.5
Folk_concept12,0.5
Folk_concept22,0.5
Folk_concept16,0.5
Folk_concept8,0.49
Folk_concept15,0.49
Folk_concept5,0.49
Folk_concept24,0.49
Folk_concept13,0.48
Folk_concept25,0.47
Folk_concept20,0.47
Folk_concept4,0.47
Folk_concept6,0.46
Folk_concept9,0.46
Folk_concept23,0.46
Folk_concept1,0.45
Folk_concept14,0.43
Hip-Hop_concept18,0.48
Hip-Hop_concept14,0.47
Hip-Hop_concept15,0.47
Hip-Hop_concept11,0.46
Hip-Hop_concept22,0.46
Hip-Hop_concept19,0.46
Hip-Hop_concept1,0.46
Hip-Hop_concept3,0.44
Hip-Hop_concept9,0.44
Hip-Hop_concept5,0.44
Hip-Hop_concept6,0.44
Hip-Hop_concept10,0.43
Hip-Hop_concept2,0.43
Hip-Hop_concept16,0.43
Hip-Hop_concept8,0.43
Hip-Hop_concept20,0.42
Hip-Hop_concept7,0.42
Hip-Hop_concept24,0.42
Hip-Hop_concept4,0.42
Hip-Hop_concept13,0.42
Hip-Hop_concept17,0.41
Hip-Hop_concept25,0.41
Hip-Hop_concept23,0.4
Hip-Hop_concept12,0.39
Hip-Hop_concept21,0.39
Instrumental_concept10,0.47
Instrumental_concept11,0.47
Instrumental_concept18,0.46
Instrumental_concept5,0.46
Instrumental_concept7,0.45
Instrumental_concept21,0.45
Instrumental_concept6,0.45
Instrumental_concept15,0.45
Instrumental_concept13,0.44
Instrumental_concept12,0.44
Instrumental_concept20,0.44
Instrumental_concept8,0.44
Instrumental_concept22,0.44
Instrumental_concept16,0.44
Instrumental_concept9,0.43
Instrumental_concept19,0.43
Instrumental_concept23,0.43
Instrumental_concept4,0.43
Instrumental_concept1,0.43
Instrumental_concept2,0.42
Instrumental_concept25,0.42
Instrumental_concept24,0.4
Instrumental_concept17,0.4
Instrumental_concept3,0.4
Instrumental_concept14,0.39
International_concept5,0.49
International_concept9,0.49
International_concept8,0.48
International_concept11,0.48
International_concept18,0.48
International_concept21,0.48
International_concept17,0.48
International_concept22,0.47
International_concept16,0.47
International_concept1,0.47
International_concept25,0.46
International_concept15,0.46
International_concept4,0.46
International_concept13,0.46
International_concept24,0.45
International_concept19,0.45
International_concept14,0.45
International_concept10,0.45
International_concept7,0.45
International_concept2,0.45
International_concept12,0.45
International_concept23,0.44
International_concept6,0.43
International_concept20,0.42
International_concept3,0.41
Pop_concept24,0.44
Pop_concept10,0.44
Pop_concept25,0.43
Pop_concept8,0.43
Pop_concept5,0.43
Pop_concept22,0.42
Pop_concept17,0.42
Pop_concept4,0.42
Pop_concept23,0.42
Pop_concept15,0.41
Pop_concept9,0.41
Pop_concept2,0.41
Pop_concept3,0.41
Pop_concept1,0.41
Pop_concept16,0.4
Pop_concept7,0.4
Pop_concept11,0.4
Pop_concept18,0.4
Pop_concept14,0.4
Pop_concept19,0.4
Pop_concept12,0.4
Pop_concept20,0.37
Pop_concept6,0.37
Pop_concept21,0.36
Pop_concept13,0.35
Rock_concept1,0.51
Rock_concept21,0.49
Rock_concept25,0.48
Rock_concept14,0.47
Rock_concept12,0.47
Rock_concept4,0.46
Rock_concept23,0.46
Rock_concept18,0.45
Rock_concept19,0.45
Rock_concept7,0.45
Rock_concept16,0.44
Rock_concept8,0.44
Rock_concept17,0.44
Rock_concept3,0.44
Rock_concept5,0.43
Rock_concept11,0.43
Rock_concept13,0.43
Rock_concept9,0.43
Rock_concept24,0.42
Rock_concept22,0.42
Rock_concept20,0.42
Rock_concept10,0.4
Rock_concept6,0.4
Rock_concept15,0.4
Rock_concept2,0.36
